title,subclass,description
"Droughts, floods and financial distress in the United States",Economic theory,"""The relationships among the weather, agricultural markets, and financial markets have long been of interest to economic historians, but relatively little empirical work has been done.  We push this literature forward by using modern drought indexes, which are available in detail over a wide area and for long periods of time to perform a battery of tests on the relationship between these indexes and sensitive indicators of financial stress.  The drought indexes were devised by climate historians from instrument records and tree rings, and because they are unfamiliar to most economic historians and economists, we briefly describe the methodology.  The financial literature in the area can be traced to William Stanley Jevons, who connected his sun spot theory to rainfall patterns.  The Dust bowl of the 1930s brought the climate-finance link to the attention of the general public.  Here we assemble new evidence to test various hypotheses involving the impact of extreme swings in moisture on financial stress""--National Bureau of Economic Research web site."
Generalized agency problems,Economic theory,"""Agency problems in economics virtually always entail self-interested agency exhibiting ""insufficient"" loyalty to principal.  Social psychology also has a literature, mainly derived from work by Stanley Milgram, on issues of agency, but this emphasizes excessive loyalty -- people undergoing a so-called ""agentic shift"" and forsaking rationality for loyalty to a legitimate principal, as when ""loyal"" soldiers obey orders to commit atrocities.  This literature posit that individuals experience a deep inner satisfaction from acts of loyalty -- essentially a ""utility of loyalty"" -- and that this both buttresses institutions organized as hierarchies and explains much human misery.  Agency problems of excessive loyalty, as when boards kowtow to errant CEOs and controlling shareholders, may be as economically important in corporate finance as the more familiar problems of insufficient loyalty of corporate insiders to shareholders.  Overt conflict between rival authorities is shown to reverse the ""agentic shift"" -- justifying institutions that formalize argumentation such as the adversary system in Common Law courts; the Official Opposition in Westminster democracies; discussants and referees in academia; and independent directors, non-executive chairs, and proxy contests in corporate governance""--National Bureau of Economic Research web site."
Crowding out and crowding in of private donations and government grants,Economic theory,"""A large literature examines the interaction of private and public funding of public goods and charities, much of it testing if public funding crowds out private funding.  This paper makes two contributions to this literature.  First, the crowding out effect could also occur in the opposite direction: in response to the level of private contributions, the government may alter its funding.  I model how crowding out can manifest in both directions.  Second, with asymmetric information about the quality of a public good, one source of funding may act as a signal about that quality and crowd in the other source of funding.  I test for crowding out or crowding in either direction using a large panel data set gathered from nonprofit organizations' tax returns.  I find strong evidence that government grants crowd in private donations, consistent with the signaling model.  Regression point estimates indicate that private donations crowd out government grants, but they are not statistically significant""--National Bureau of Economic Research web site."
"Immigrants assimilate as communities, not just as individuals","Industries, Land use, Labor","""There is a large econometric literature that examines the economic assimilation of immigrants in the United States and elsewhere. On the whole immigrants are seen as atomistic individuals assimilating in a largely anonymous labour market, a view that runs counter to the spirit of the equally large literature on ethnic groups. Here we argue that immigrants assimilate as communities, not just as individuals. The longer the immigrant community has been established the better adjusted it is to the host society and the more the host society comes to accept that ethnic group. Thus economic outcomes for immigrants should depend not just on their own characteristics, but also on the legacy of past immigration from the same country. In this paper we test this hypothesis using data from a 5 percent sample of the 1980, 1990 and 2000 US censuses. We find that history matters in immigrant assimilation: the stronger is the tradition of immigration from a given source country, the better the economic outcomes for new immigrants from that source""--Forschungsinstitut zur Zukunft der Arbeit web site."
Does reform work? an econometric examination of the reform-growth puzzle,"Industries, Land use, Labor","""Why are socially beneficial reforms not implemented? One simple answer to this question (which has received little attention in the literature) is that this may be caused by generalized uncertainty about the effectiveness of reforms. If agents are unsure about whether a proposed reform will work, it will be less likely to be adopted. Despite the numerous benefits economists assign to structural reforms, the empirical literature has thus far failed to establish a positive and significant effect of reforms on economic performance. We collect data from 43 econometric studies (for more than 300 coefficients on the effects of reform on growth) and show that approximately one third of these coefficients is positive and significant, another third is negative and significant, and the final third is not statistically significant different from zero. In trying to understand this remarkable variation, we find that the measurement of reform and controlling for institutions and initial conditions are main factors in decreasing the probability of reporting a significant and positive effect of reform on growth""--Forschungsinstitut zur Zukunft der Arbeit web site."
Optimal fiscal policy in the design of social security reforms,Economic theory,"""The quantitative macroeconomics literature has documented that in the basic Overlapping Generations model a privatization of the social security system, going from a Pay-As-You-Go to a Fully Funded system, generates large long run welfare gains at the cost of substantial welfare losses for initial generations.  We propose an alternative to previous literature.  In this paper we maximize over the entire policy space, following the optimal fiscal policy approach, rather than comparing alternative policy paths one to one.  That is, policies are chosen as part of the optimal design of a social security privatization in a Pareto improving way.  The government decides endogenously how to finance the implicit social security liabilities and compensate the initial generations alive during the transition.  In contrast with previous analysis the resulting allocation, by construction, lies on the constrained Pareto frontier.  We find that the optimal design of reforms exhibits sizeable welfare gains, arising because of the reduction in labor supply distortions.  In contrast, the welfare gains coming from the reduction of savings distortions are relatively small""--Federal Reserve Bank of St. Louis web site."
Corruption and trade protection evidence from panel data /,Economic theory,"""This paper provides new estimates of the effects of corruption and poor institutions on trade protection.  It exploits data on several measures of trade protection including import duty, international trade taxes, and the trade-GDP ratio.  The paper complements the literature on the relationship between corruption and trade reform.  It deviates from the previous literature in several ways.  First, unobserved heterogeneity among countries have been controlled with properly specified fixed effects exploiting the time dimension present in the dataset.  Secondly, instead of using tariff and non-tariff barriers, more general measures of trade protection have been used.  The issue of endogeneity of corruption with respect to trade policy has been addressed using proper instruments for corruption used in previous studies.  Moreover, two separate institutional measures have been used in the same regression to estimate their comparative impacts on trade policy.  In general, we find that corruption and lack of contract enforcement have strong impacts to increase trade protection and negative effects on trade openness""--Federal Reserve Bank of St. Louis web site."
Is unemployment more costly than inflation?,Economic theory,"""Previous literature has found that both unemployment and inflation lower happiness.  This paper extends the literature by looking at more countries over a longer time period.  It also considers the impacts on happiness of GDP per capita and interest rates.  I find, conventionally, that both higher unemployment and higher inflation lower happiness.  Interest rates are also found to enter happiness equations negatively.  Changes in GDP per capita have little impact on more economically developed countries, but do have a positive impact in the poorest countries -- consistent with the Easterlin hypothesis.  I find that unemployment depresses well-being more than inflation.  The least educated and the old are more concerned about unemployment than inflation.  Conversely, the young and the most educated are more concerned about inflation.  An individual's experience of high inflation over their adult lifetime lowers their current happiness over and above the effects from inflation and unemployment.  Unemployment appears to be more costly than inflation in terms of its impact on wellbeing""--National Bureau of Economic Research web site."
"Noisy macroeconomic announcements, monetary policy, and asset prices",Economic theory,"""The current literature has provided a number of important insights about the effects of macroeconomic data releases on monetary policy expectations and asset prices.  However, one puzzling aspect of that literature is that the estimated responses are quite small.  Indeed, these studies typically find that the major economic releases, taken together, account for only a small amount of the variation in asset prices even those closely tied to near-term policy expectations.  In this paper we argue that this apparent detachment arises in part from the difficulties associated with measuring macroeconomic news.  We propose two new econometric approaches that allow us to account for the noise in measured data surprises.  Using these estimators, we find that asset prices and monetary policy expectations are much more responsive to incoming news than previously believed.  Our results also clarify the set of facts that should be captured by any model attempting to understand the interactions between economic data, monetary policy, and asset prices""--National Bureau of Economic Research web site."
"Buy, lobby or sue interest groups' participation in policy making - a selective survey /",Economic theory,"""The participation of interest groups in public policy making is unavoidable.  Its unavoidable nature is only matched by the universal suspicion with which it has been seen by both policy makers and the public.  Recently, however, there has been a growing literature that examines the participation of interest groups in public policy making from a New Institutional Economics perspective.  The distinguishing feature of the New Institutional Economics Approach is its emphasis in opening up the black box of decision-making, whether in understanding the rules of the game, or the play of the game.  In this paper we do not attempt to fairly describe the vast literature on interest group's behavior.  Instead, the purpose of this essay for the New Institutional Economics Guide Book is to review recent papers that follow the NIE mantra.  That is, they attempt to explicate the micro-analytic features of the way interest groups actually interact with policy-makers, rather than providing an abstract high-level representation.  We emphasize the role of the institutional environment in understanding interest groups' strategies""--National Bureau of Economic Research web site."
Explaining cross-country income differences,Economic theory,"""This chapter reviews the literature that tries to explain the disparity and variation of GDP per worker and GDP per capita across countries and across time. There are many potential explanations for the different patterns of development across countries, including differences in luck, raw materials, geography, preferences, and economic policies. We focus on differences in economic policies and ask to what extent can differences in policies across countries account for the observed variability in income levels and their growth rates. We review estimates for a wide range of policy variables. In many cases, the magnitude of the estimates is under debate. Estimates found by running cross-sectional growth regressions are sensitive to which variables are included as explanatory variables.  Estimates found using quantitative theory depend in critical ways on values of parameters and measures of factor inputs for which there is little consensus. In this chapter, we review the ongoing debates of the literature and the progress that has been made thus far""--Federal Reserve Bank of Minneapolis web site."
The GED,Economic theory,"""The General Educational Development (GED) credential is issued on the basis of an eight hour subject-based test.  The test claims to establish equivalence between dropouts and traditional high school graduates, opening the door to college and positions in the labor market.  In 2008 alone, almost 500,000 dropouts passed the test, amounting to 12% of all high school credentials issued in that year.  This chapter reviews the academic literature on the GED, which finds minimal value of the certificate in terms of labor market outcomes and that only a few individuals successfully use it as a path to obtain post-secondary credentials.  Although the GED establishes cognitive equivalence on one measure of scholastic aptitude, recipients still face limited opportunity due to deficits in noncognitive skills such as persistence, motivation and reliability.  The literature finds that the GED testing program distorts social statistics on high school completion rates, minority graduation gaps, and sources of wage growth.  Recent work demonstrates that, through its availability and low cost, the GED also induces some students to drop out of school.  The GED program is unique to the United States and Canada, but provides policy insight relevant to any nation's educational context""--National Bureau of Economic Research web site."
In search of real rigidities,Economic theory,"""The closed and open economy literatures work on evaluating the role of real rigidities, but in parallel.  This paper brings the two literatures together.  We use international price data and exchange rate shocks to evaluate the importance of real rigidities in price setting.  We show that consistent with the presence of real rigidities the response of reset-price inflation to exchange rate shocks depicts significant persistence.  Individual import prices, conditional on changing, respond to exchange rate shocks prior to the last price change.  At the same time aggregate reset-price inflation for imports, like that for consumer prices, depicts little persistence.  Competitor prices affect firm pricing, and exchange rate pass-through into import prices is greater in response to trade-weighted as opposed to bilateral exchange rate shocks.  We quantitatively evaluate sticky price models (Calvo and menu cost) with variable markups at the wholesale level and constant markups at the retail level, consistent with empirical evidence.  Variable markups alone generate price sluggishness at the aggregate level, while they fall short of matching price persistence at the micro level.  Finally, variable markups magnify the size of the contract multiplier, but their absolute effects are modest unless they are coupled with exogenous sources of persistence""--National Bureau of Economic Research web site."
"Earnings, consumption and lifecycle choices",Economic theory,"""We discuss recent developments in the literature that studies how the dynamics of earnings and wages affect consumption choices over the life cycle.  We start by analyzing the theoretical impact of income changes on consumption - highlighting the role of persistence, information, size and insurability of changes in economic resources.  We next examine the empirical contributions, distinguishing between papers that use only income data and those that use both income and consumption data.  The latter do this for two purposes.  First, one can make explicit assumptions about the structure of credit and insurance markets and identify the income process or the information set of the individuals.  Second, one can assume that the income process or the amount of information that consumers have are known and tests the implications of the theory.  In general there is an identification issue that is only recently being addressed, with better data or better ""experiments"".  We conclude with a discussion of the literature that endogenize people's earnings and therefore change the nature of risk faced by households""--National Bureau of Economic Research web site."
Interracial friendships in college,Economic theory,"""Motivated by the reality that the benefits of diversity on a college campus will be mitigated if interracial interactions are scarce or superficial, previous work has strived to document the amount of interracial friendship interaction and to examine whether policy can influence this amount.  In this paper we take advantage of unique longitudinal data from the Berea Panel Study to build on this previous literature by providing direct evidence about the amount of interracial friendships at different stages of college and by providing new evidence about some of the possible underlying reasons for the observed patterns of interaction.  We find that, while much sorting exists at all stages of college, black and white students are, in reality, very compatible as friends; randomly assigned roommates of different races are as likely to become friends as randomly assigned roommates of the same race.  Further, we find that, in the long-run, white students who are randomly assigned black roommates have a significantly larger proportion of black friends than white students who are randomly assigned white roommates, even when the randomly assigned roommates are not included in the calculation of the proportions.  This last result contradicts previous findings in the literature""--National Bureau of Economic Research web site."
"Skills, exports, and the wages of five million Latin American workers",Economic theory,"""The returns to schooling or the skill premium is a key parameter in various literatures, including globalization and inequality and international migration.  This paper explores the skill premium and its link to exports in Latin America, thus linking the skill premium to the emerging literature on the structure of trade and development.  Using data on employment and wages for over five million workers in sixteen Latin American economies, the authors estimate national and industry-specific skill premiums and study some of their determinants.  The evidence suggests that both country and industry characteristics are important in explaining skill premiums.  The analysis also suggests that the incidence of exports within industries, the average income per capita within countries, and the relative abundance of skilled workers are related to the underlying industry and country characteristics that explain skill premiums.  In particular, higher sectoral exports are positively linked with the skill premium at the industry level, a result that supports recent trade models linking exports with wages and the demand for skills""--National Bureau of Economic Research web site."
Give credit where credit is due tracing value added in global production chains /,Economic theory,"""This paper aims to integrate and generalize the many attempts in the literature at tracing value added by country in international trade.  We provide a conceptual framework to estimate value added that is more comprehensive than what is available in the existing literature.  We fully detail the sources of value added accounting for 100 percent of gross exports, including several components of domestic value-added in exports.  The decomposition of value-added exports examines both exports that are absorbed by the direct importer and those that are processed and subsequently exported to other countries.  To empirically implement the framework, we construct an international database of value-added production and trade based on the GTAP database.  Our results document substantial differences between major regional supply networks, with less integration between East and West Europe than within North America or Asia in 2004.  Many measures show that emerging Asia differs considerably from other emerging economies.  Much of Asia, including China itself, sends their exports to countries that provide final assembly on behalf of consumers in other countries.  Asian countries also have relatively dispersed sourcing of imported intermediate inputs""--National Bureau of Economic Research web site."
Choice and competition in local education markets,Economic theory,"""Prompted by widespread concerns about public school quality, a growing empirical literature has measured the effects of greater choice on school performance.  This paper contributes to that literature in three ways.  First, it makes the observation that the overall effect of greater choice, which has been the focus of prior research, can be decomposed into demand and supply components: knowing the relative sizes of the two is very relevant for policy.  Second, using rich data from a large metropolitan area, it provides a direct and intuitive measure of the competition each school faces.  This takes the form of a school-specific elasticity that measures the extent to which reductions in school quality would lead to reductions in demand.  Third, the paper provides evidence that these elasticity measures are strongly related to school performance: a one-standard deviation increase in the competitiveness of a school's local environment within the Bay Area leads to a 0.15 standard deviation increase in average test scores.  This positive correlation is robust and is consistent with strong supply responsiveness on the part of public schools, of relevance to the broader school choice debate""--National Bureau of Economic Research web site."
Real exchange rate volatility and the price of nontradables in sudden-stop-prone economies,Economic theory,"""The dominant view in the empirical literature on exchange rates is that the high variability of real exchange rates is due to movements in exchange-rate-adjusted prices of tradable goods.  This paper shows that this dominant view does not hold in Mexican data for the periods in which the country had managed exchange rate regimes.  Variance analysis of a 30-year sample of monthly data shows that movements in the price of nontradables relative to tradables account for up to 70 percent of the variability of the real exchange rate during these periods.  The paper proposes a model in which this stylized fact, and the Sudden Stops that accompanied the collapse of Mexico's managed exchange rates, could result from an endogenous amplification mechanism operating via nontradables prices in economies with dollarized liabilities and credit constraints.  The key feature of this mechanism is Irving Fisher's debt-deflation process.  Numerical evaluation suggests that the Fisherian deflation effects on consumption, the current account, and relative prices dwarf those induced by the standard balance sheet effect typical of the Sudden Stops literature""--National Bureau of Economic Research web site."
Brain gain claims about its size and impact on welfare and growth are greatly exaggerated /,"Industries, Land use, Labor","""Based on static partial equilibrium analysis, the ""new brain drain"" literature argues that, by raising the return to education, a brain drain generates a brain gain that is, under certain conditions, larger than the brain drain itself, and that such a net brain gain results in an increase in welfare and growth due to education's positive externalities. This paper, on the other hand, argues that these claims are exaggerated. In the static case, and based on both partial and general equilibrium considerations, the paper shows that (i) the size of the brain gain is smaller than suggested in that literature; (ii) the impact on welfare and growth is smaller as well (for any brain gain size); (iii) a positive brain gain is likely to result in a smaller human capital gain and may even have a negative impact on the stock of human capital; (iv) an increase in the stock of human capital may have a negative impact on welfare and growth; and (v) in a dynamic framework, the paper shows that the brain drain is unambiguously larger than the brain gain, i.e., that the steady state is characterized by a net brain loss""--Forschungsinstitut zur Zukunft der Arbeit web site."
Mind the gap unemployment in the new eu regions /,"Industries, Land use, Labor","""The paper surveys the theoretical and empirical literature on regional unemployment during transition in Central and Eastern Europe. The focus is on Optimal Speed of Transition (OST) models and on comparison of them with the neoclassical tradition. In the typical neoclassical models, spatial differences essentially arise as a consequence of supply side constraints and institutional rigidities. Slow-growth, high-unemployment regions are those with backward economic structures and constraints on factors mobility contribute to making differences persistent. However, such explanations leave the question unanswered of how unemployment differences arise in the first place. Economic transition provides an excellent testing ground to answer this question. Prefiguring an empirical law, the OST literature finds that the high degree of labour turnover of high unemployment regions is associated with a high rate of industrial restructuring and, consequently, that low unemployment may be achieved by implementing transition more gradually. Moreover, international trade, FDI and various agglomeration factors help explain the success of capital cities compared to peripheral towns and rural areas in achieving low unemployment""--Forschungsinstitut zur Zukunft der Arbeit web site."
A theory of political cycles,Economic theory,"""The literature on political cycles argues that the proximity of elections affects policy choices. This  literature considers that opportunistic policymakers manipulate policy to increase their reelection probability.  Previous theoretical studies assume that the policymaker can affect his reelection probability only with his last decision before the election. This assumption seems extreme, and directly produces a cycle without presenting a theory of why a policymaker's behavior is different closer to the election.  We shall explain how, without this assumption, existing political-agency models can still produce cycles.  In contrast to previous (theoretical and empirical) studies, we consider how the policymaker's decisions depend on his reputation (the beliefs about his future performance). Since the policymaker's reputation most likely changes over time, in general, one cannot conclude from observing the same behavior throughout the policymaker's term that the proximity of elections does not affect policy choices. Consequently,  our findings suggest reinterpreting previous empirical results and controlling for changes in reputation in future empirical studies. More generally, our results deepen the understanding of agency relationships in which the agent℗s compensation is decided infrequently.""--Federal Reserve Bank of Richmond web site."
The equivalence of wage and price staggering in monetary business cycle models,Finance,"""Chari, Kehoe, and McGratten's (1998) finding that a standard monetary business cycle model with staggered price setting is unable to generate sufficiently persistent real effects of monetary shocks has engendered a growing literature aimed at developing alternative mechanisms for producing greater persistence.  The most popular approach at present in this literature appears to be one in which staggered wage contracts are used as either an alternative or a complement to a staggered price mechanism.  This is informed by recent research by Andersen (1998) and Huang and Liu (1998) which finds that the staggered wage model, despite its superficial similarity to the staggered price setup, incorporates a very different microstructure that implies substantially more real persistence.  This paper argues that these authors' findings rely heavily on the assumption that identical inputs are used by all firms, and demonstrates that, by assuming firm-specific factor inputs the staggered price model is as capable as the staggered wage model of generating persistent real responses to monetary shocks""--Federal Reserve Board web site."
"Bankruptcy exemptions, credit history, and the mortgage market",Economic theory,"""We develop and test a model of mortgage  underwriting, with particular reference to the role of credit bureau scores.  In  our model scores are used in a standardized fashion, which reflects the  prevalence of automated underwriting in industry practice.  We show that our  model has implications for the debate on the effect of personal bankruptcy  exemptions on secured lending.  Recent literature (Berkowitz and Hynes (1999),  Lin and White (2001)) has developed conflicting theoriesand found  conflicting resultsseeking to explain how exemptions affect the mortgage  market.  By contrast, our model implies that  when lenders use credit scores in a standardized manner, exemptions should be  irrelevant to the mortgage underwriting decision.  Merging data from a major  credit bureau with the Home Mortgage Disclosure Act (HMDA) dataset, we confirm  this prediction of our model.  We also show that while ignoring borrower credit  quality may make exemptions appear to be significant, once one controls for  credit scores then exemptions have no effect on the likelihood that a mortgage  application is approved.  We confirm this empirically and argue that this may  help explain some of the results of the previous literature""--Federal Reserve Bank of Philadelphia web site."
New evidence on the expectations hypothesis of the term structure of bond yields,Economic theory,"""This paper tests the expectations hypothesis (EH) with the data used in Campbell and Shiller's (1991) seminal work on the EH using a Lagrange multiplier test developed recently by Bekaert and Hodrick (2001).  This test is applied under the assumption that interest rates are integrated of order one, I(1), as in Campbell and Shiller (1987), and under the assumption that interest rates are stationary.  We also extend the literature beyond the bivariate comparisons of long-term and short-term rates which dominates the EH testing literature.  In addition, we examine the linkage between the term structure and macrcoeconomic variables.  Consistent with the findings of Campbell and Shiller (1991), the EH is rejected at the short end of the maturity spectrum but not at the longer end.  The EH is rejected at the longer end of the term structure when more than two rates or the relationship between the term structure and the macroeconomy are considered.  Moreover, we find that evaluating the EH using the ratio of the variance of the forecasted long-term rate (or rate spread) under the EH to the observed variance generates misleading information about the merit of the EH""--Federal Reserve Bank of St. Louis web site."
Uncovering the risk-return relation in the stock market,Economic theory,"""There is an ongoing debate in the literature about the apparent weak or negative relation between risk (conditional variance) and return (expected returns) in the aggregate stock market.  We develop and estimate an empirical model based on the ICAPM to investigate this relation.  Our primary innovation is to model and identify empirically the two components of expected returns--the risk component and the component due to the desire to hedge changes in investment opportunities.  We also explicitly model the effect of shocks to expected returns on ex post returns and use implied volatility from traded options to increase estimation efficiency.  As a result, the coefficient of relative risk aversion is estimated more precisely, and we find it to be positive and reasonable in magnitude.  Although volatility risk is priced, as theory dictates, it contributes only a small amount to the time-variation in expected returns.  Expected returns are driven primarily by the desire to hedge changes in investment opportunities.  It is the omission of this hedge component that is responsible for the contradictory and counter-intuitive results in the existing literature""--Federal Reserve Bank of St. Louis web site."
Electricity sector reform in developing countries a survey of empirical evidence on determinants and performance /,Finance,"""Driven by ideology, economic reasoning, and early success stories, vast amounts of financial resources and effort have been spent on reforming infrastructure industries in developing countries.  It is therefore important to examine whether evidence supports the logic of reforms.  The authors review the empirical evidence on electricity reform in developing countries.  They find that country institutions and sector governance play an important role in the success and failure of reform.  And reforms also appear to have increased operating efficiency and expanded access to urban customers.  However, the reforms have to a lesser degree passed on efficiency gains to customers, tackled distributional effects, and improved rural access.  Moreover, some of the literature is not methodologically robust and on par with general development economics literature.  Further, findings on some issues are limited and inconclusive, while other important areas are yet to be addressed.  Until we know more, implementation of reforms will be more based on ideology and economic theory rather than solid economic evidence. ""--World Bank web site."
"Skill-biased technological change, earnings of unskilled workers, and crime",Economic theory,"""The NBER Bulletin on Aging and Health provides summaries of publications like this.  You can sign up to receive the NBER Bulletin on Aging and Health by email.  This paper investigates the impact of unskilled workers' earnings on crime.  Following the literature on wage inequality and skill-biased technological change, we employ CPS data to create state-year as well as state-year-and (broad) industry specific measures of skill-biased technological change, which are then used as instruments for unskilled workers' earnings in crime regressions.  Regressions that employ state panels reveal that technology-induced variations in unskilled workers' earnings impact property crime with an elasticity of -1, but that wages have no impact on violent crime.  The paper also estimates, for the first time in this literature, structural crime equations using micro panel data from NLSY97 and instrumenting real wages of young workers.  Using state-year-industry specific technology shocks as instruments yields elasticities that are in the neighborhood of -2 for most types of crime, which is markedly larger than previous estimates.  In both data sets there is evidence for asymmetric impact of unskilled workers' earnings on crime.  A decline in earnings has a larger effect on crime in comparison to an increase in earnings by the same absolute value""--National Bureau of Economic Research web site."
Trade policy and market power the case of the US steel industry /,Economic theory,"""A primary function of trade policy is to restrict imports to benefit the targeted domestic sector.  However, a well-established theoretical literature highlights that the form of trade policy (e.g., quotas versus tariffs) can have a significant impact on how much trade policy affects firms' abilities to price above marginal cost (i.e., market power).  The US steel industry provides an excellent example to study these issues, as it has received many different types of trade protection over the past decades.  We model the US steel market and then use a panel of data on major steel products from 1980 through 2006 to examine the effects of various trade policies on the steel market.  We find that the US steel market is very competitive throughout our sample with the exception of the period in which they received comprehensive voluntary restraint agreements (i.e., quotas) and were able to price substantially above marginal cost.  All other forms of protection were in tariff form and had little effect on market power, consistent with prior theoretical literature on the nonequivalence of tariffs and quotas.  We also find evidence that market power eroded over time in steel products where mini-mill producers gained sizeable market share, highlighting the role of technology in the market as well""--National Bureau of Economic Research web site."
The forgotten history of domestic debt,Economic theory,"""There is a rich scholarly literature on sovereign default on external debt.  Comparatively little is known about sovereign defaults on domestic debt.  Even today, cross-country data on domestic public debt remains curiously exotic, particularly prior to the 1980s.  We have filled this gap in the literature by compiling a database on central government public debt (external and domestic).  The data span 1914 to 2007 for most countries, reaching back into the nineteenth century for many.  Our findings on debt sustainability, sovereign defaults, the temptation to inflate, and the hierarchy of creditors only scratch the surface of what the domestic public debt data can reveal.  First, domestic debt is big -- for the 64 countries for which we have long time series, domestic debt accounts for almost two-thirds of total public debt.  For most of the sample, this debt carries a market interest rate (except for the financial repression era between WWII and financial liberalization).  Second, the data go a long ways toward explaining the puzzle of why countries so often default on their external debts at seemingly low debt thresholds.  Third, domestic debt has largely been ignored in the vast empirical work on inflation.  In fact, domestic debt (a significant portion of which is long term and non-indexed) is often much larger than the monetary base in the run-up to high inflation episodes.  Last, the widely-held view that domestic residents are strictly junior to external creditors does not find broad support""--National Bureau of Economic Research web site."
Child labor,Economic theory,"""In recent years, there has been an astonishing proliferation of empirical work on child labor.  An Econlit search of keywords ""child lab*r"" reveals a total of 6 peer reviewed journal articles between 1980 and 1990, 65 between 1990 and 2000, and 143 in the first five years of the present decade.  The purpose of this essay is to provide a detailed overview of the state of the recent empirical literature on why and how children work as well as the consequences of that work.  Section 1 defines terms commonly used in the study of child time allocation and provides a descriptive overview of how children spend their time in low income countries today.  Section 2 reviews the case for attention to the most common types of work in which children participate, focusing on that work's impact on schooling, health, as well as externalities associated with that work.  Section 3 considers the literature on the determinants of child time allocation such as the influence of local labor markets, family interactions, the net return to schooling, and poverty.  Section 5 discusses the limited evidence on different policy options aimed at influencing child labor.  Section 6 concludes by emphasizing important research questions requiring additional research such as child and parental agency, the effectiveness of child labor policies, and the determinants of participation in the ""worst forms"" of child labor""--National Bureau of Economic Research web site."
"Water markets in the west prices, trading, and contractual forms /",Economic theory,"""Rising urban and environmental demand for water has created growing pressure to re-allocate water from traditional agricultural uses.  The evolution of water markets has been more complicated than those for other resources.  In this paper, we first explain these differences by examining water rights and regulatory issues.  Second, we place our research in the context of the economics literature on water marketing.  Third, we present new, comprehensive data on prices and the extent, nature, and timing of water transfers across 12 western states from 1987-2005.  We find that prices are higher for agriculture-to-urban trades versus within-agriculture trades, in part, reflecting the differences in marginal values between the two uses.  Prices for urban use are also growing relative to agricultural use.  Markets are responding in that the number of agriculture-to-urban transactions is rising, whereas the number of agriculture-to-agriculture transfers is not.  Further, there is a shift from using short-term leases to using multi-year leases of water and permanent sales of water rights.  This pattern underscores the need to consider the amounts of water obligated over time, rather than examining only annual flows in assessing the quantities of water traded as is the common practice in the literature.  Considering water obligated over time, termed committed water, we find significantly more is transferred and the direction of trading is different than if the focus is on annual flows.  Finally, the data reveal considerable variation in water trading across the states""--National Bureau of Economic Research web site."
An empirical investigation of labor income processes,Economic theory,"""In this paper we reassess the evidence on labor income risk.  There are two leading views on the nature of the income process in the current literature.  The first view, which we call the ""Restricted Income Profiles"" (RIP) process, holds that individuals are subject to large and very persistent shocks, while facing similar life-cycle income profiles.  The alternative view, which we call the ""Heterogeneous Income Profiles"" (HIP) process, holds that individuals are subject to income shocks with modest persistence, while facing individual-specific income profiles.We first show that ignoring profile heterogeneity, when in fact it is present, introduces an upward bias into the estimates of persistence.  Second, we estimate a parsimonious parameterization of the HIP process that is suitable for calibrating economic models.  The estimated persistence is about 0.8 in the HIP process compared to about 0.99 in the RIP process.  Moreover, the heterogeneity in income profiles is estimated to be substantial, explaining between 56 to 75 percent of income inequality at age 55.  We also find that profile heterogeneity is substantially larger among higher educated individuals.  Third, we discuss the source of identification -- in other words, the aspects of labor income data that allow one to distinguish between the HIP and RIP processes.  Finally, we show that the main evidence against profile heterogeneity in the existing literature -- that the autocorrelations of income changes are small and negative -- is also replicated by the HIP process, suggesting that this evidence may have been misinterpreted""--National Bureau of Economic Research web site."
Child labor,"Industries, Land use, Labor","""In recent years, there has been an astonishing proliferation of empirical work on child labor. An Econlit search of keywords ""child lab*r"" reveals a total of 6 peer reviewed journal articles between 1980 and 1990, 65 between 1990 and 2000, and 143 in the first five years of the present decade. The purpose of this essay is to provide a detailed overview of the state of the recent empirical literature on why and how children work as well as the consequences of that work. Section 1 defines terms commonly used in the study of child time allocation and provides a descriptive overview of how children spend their time in low income countries today. Section 2 reviews the case for attention to the most common types of work in which children participate, focusing on that work's impact on schooling, health, as well as externalities associated with that work. Section 3 considers the literature on the determinants of child time allocation such as the influence of local labor markets, family interactions, the net return to schooling, and poverty. Section 5 discusses the limited evidence on different policy options aimed at influencing child labor. Section 6 concludes by emphasizing important research questions requiring additional research such as child and parental agency, the effectiveness of child labor policies, and the determinants of participation in the ""worst forms"" of child labor""--Forschungsinstitut zur Zukunft der Arbeit web site."
